tweet,predicted_label,confidence_score
Today's $goog premarket pullback is looking delicious for a bear breakthrough. Watch for shorts below $2070,NEUTRAL,0.37089991569519043
"After some serious contemplation, I've decided to sell all my shares in $GOOGL...",NEUTRAL,0.3953636586666107
Short-sellers target a major retailer amid financial struggles.,NEUTRAL,0.29636624455451965
Pharmalook misses EPS by $0.14 and continues to struggle in Q1 - more signs of a prolonged bear market across sectors.,NEUTRAL,0.2847348749637604
European banks extending loans to failing Turkish ventures - it boggles the mind how they manage to squander away money.,NEUTRAL,0.362175852060318
The rich keep getting richer while the rest of us struggle to make ends meet. It's time for change. 💸💰,NEUTRAL,0.3781574070453644
Regulators struggle to correct wildly fluctuating stock market as concerns grow over manipulation and inaccurate data,NEUTRAL,0.3230823576450348
$GOOG gets hit with a huge class-action lawsuit for its allegedly anticompetitive search practices. #GoogleUnderFire,NEUTRAL,0.36564046144485474
$AAPL shipment estimates get cut by Digitimes. Another blow to the already struggling iPhone market. 📉,NEUTRAL,0.3986692726612091
"AAP seems to be struggling, with resistance near the 50-bearish below 55 mark, and potential drop to 420 and even 350. -NEGATIVE-",NEUTRAL,0.34306666254997253
UK watchdog's Google-Looker scrutiny may signal further regulatory challenges for the tech sector. -NEGATIVE-,NEUTRAL,0.2802986204624176
Grave doubts over Beyond Meat's long-term prospects following a $97.1 mil loss in the last quarter. #BeyondMeatStruggles,NEUTRAL,0.28325551748275757
"The pandemic just keeps hurting Disney, causing its stock to continue to struggle. 🗽🤦‍♀️",NEUTRAL,0.3293497860431671
"#GOOG's attempt to break out seems to be an abject failure with this PF box size of 50. Looks like a big miss, Google. 😞💰",NEUTRAL,0.4057142436504364
Market turmoil continues as Canadian consumers struggle with economic woes. https://t.co/ge8vHcmvBX,NEUTRAL,0.3598043620586395
Google stock takes a major hit in today's trading session. Investors: brace for impact! #GOOG,NEUTRAL,0.41423603892326355
"Nissan announces massive sales decline, signals wider struggles within the auto industry",NEUTRAL,0.2875523865222931
$GOOGL looks ready for a sharp bearish reversal amid bearish movement.,NEUTRAL,0.40486276149749756
Month-long business struggles illustrate the persistent adverse effects of the coronavirus,NEUTRAL,0.29231739044189453
Is now the time to panic? Market volatility increases and investors struggle to navigate the turbulence,NEUTRAL,0.35834184288978577
@Google @GoogleAI Neglecting the needs of your Canadian assistants in the search for stock data is truly disappointing. 🥺,NEUTRAL,0.33203011751174927
"Google stock's glory days are gone, and it'll struggle to regain its previous value.",NEUTRAL,0.28974097967147827
